name,id,cclP,cclSR,bfP,bfSR,uP,uSR,nC
Mss_003357_0944_pag-811[843],0944,0.862027,0.768325,0.924098,0.861998,0.978308,0.959932,1
Mss_003357_0945_pag-812[844],0945,0.958195,0.925872,0.975144,0.955629,0.975144,0.955629,0
Mss_003357_0946_pag-813[845],0946,0.929109,0.876632,0.987953,0.977279,0.987953,0.977279,0
Mss_003357_0947_pag-814[846],0947,0.968913,0.943524,0.96808,0.943489,0.96808,0.943489,0
Mss_003357_0948_pag-815[847],0948,0.964939,0.936674,0.982903,0.968724,0.982903,0.968724,0
Mss_003357_0956_pag-823[855],0956,0.872752,0.782068,0.881782,0.790972,0.974105,0.952199,2
Mss_003357_0957_pag-824[856],0957,0.955662,0.921307,0.978394,0.959832,0.978394,0.959832,0
Mss_003357_0958_pag-825[857],0958,0.923014,0.86268,0.930469,0.874844,0.982647,0.96902,1
Mss_003357_0959_pag-826[858],0959,0.984209,0.971212,0.969149,0.945294,0.969149,0.945294,0
Mss_003357_0960_pag-827[859],0960,0.931794,0.879364,0.987782,0.978003,0.987782,0.978003,0
Mss_003357_0961_pag-828[860],0961,0.967361,0.941772,0.973128,0.951953,0.973128,0.951953,0
Mss_003357_0962_pag-829[861],0962,0.860579,0.765085,0.927154,0.869207,0.974848,0.954853,1
Mss_003357_0963_pag-830[862],0963,0.969855,0.944106,0.937028,0.887698,0.955856,0.921091,1
Mss_003357_0964_pag-831[863],0964,0.877883,0.787125,0.934216,0.878118,0.971172,0.947282,1
Mss_003357_0965_pag-832[864],0965,0.947721,0.908047,0.969043,0.944081,0.969043,0.944081,0
Mss_003357_0966_pag-833[865],0966,0.928512,0.873263,0.97409,0.951241,0.97409,0.951241,0
Mss_003357_0967_pag-834[866],0967,0.950016,0.911798,0.966065,0.939958,0.966065,0.939958,0
Average,Average,0.932502,0.882286,0.956852,0.922254,0.974627,0.954109,---
